hour,avg_travel_time,median_travel_time,p90_travel_time,high_congestion
1.0,3992.26,3937.5,5648.600000000002,0.0
2.0,4094.07,4144.0,5709.100000000001,0.0
3.0,4048.97,4149.5,5607.400000000001,0.0
4.0,4322.5,4398.0,5959.400000000001,0.0
5.0,4391.85,4419.0,6174.6,0.0
6.0,4279.27,4217.5,6212.200000000001,0.0
7.0,3847.35,3883.0,5704.700000000003,0.0
8.0,3843.23,3903.0,5981.8,0.0
9.0,4347.85,4082.0,6456.300000000002,0.0
10.0,6489.4252252252245,5735.743243243243,12238.411711711718,0.45045045045045046
11.0,7323.9842342342345,5784.243243243243,13331.618018018018,0.5675675675675675
12.0,8728.177927927927,8334.297297297297,15327.534234234236,0.6936936936936937
13.0,8155.7069369369365,7168.2972972972975,14605.186486486487,0.6936936936936937
14.0,8292.4,7275.3378378378375,14810.491891891896,0.8378378378378378
15.0,8909.400294117646,7634.754901960784,15620.620588235297,0.8921568627450981
16.0,4524.442727272727,4618.636363636364,6254.109090909092,0.2727272727272727
17.0,4091.787272727273,4086.818181818182,5918.363636363636,0.18181818181818182
18.0,4743.248181818181,4804.954545454545,6693.636363636365,0.36363636363636365
19.0,5422.320909090909,4948.318181818182,9142.836363636365,0.5454545454545454
20.0,9887.502727272727,8423.863636363636,19631.781818181833,1.0
21.0,8083.880000000001,5868.363636363636,16029.563636363637,0.5454545454545454
22.0,4235.136363636364,4201.727272727273,6195.3,0.09090909090909091
23.0,4536.965454545455,4528.909090909091,6698.936363636364,0.36363636363636365
24.0,4972.560909090909,5062.136363636364,7660.1272727272735,0.7272727272727273
25.0,11040.858181818183,9532.0,20166.77272727273,1.0
26.0,11084.724545454546,6790.409090909091,24776.49090909091,0.7272727272727273
27.0,3983.240909090909,3972.5454545454545,5736.254545454546,0.18181818181818182
28.0,4129.687272727272,4168.045454545455,5952.4454545454555,0.0
29.0,4681.821818181818,4785.409090909091,6667.872727272727,0.45454545454545453
30.0,9369.81,10090.772727272728,15033.918181818184,0.9090909090909091
31.0,15362.139090909091,10131.681818181818,31359.454545454544,0.8181818181818182
32.0,4096.466363636363,4005.2272727272725,5983.463636363637,0.0
33.0,3647.864545454546,3686.090909090909,5267.154545454547,0.0
34.0,4397.704545454545,4452.681818181818,6358.027272727273,0.18181818181818182
35.0,6534.940909090909,6473.727272727273,10396.29090909091,1.0
36.0,16450.702727272725,11165.454545454546,29471.590909090915,1.0
37.0,8239.32909090909,8845.59090909091,12931.118181818183,0.18181818181818182
38.0,3655.0627272727274,3689.590909090909,5231.200000000001,0.0
39.0,4134.669090909091,4128.454545454545,6094.863636363638,0.09090909090909091
40.0,5302.920909090909,5323.454545454545,8072.145454545455,0.7272727272727273
41.0,14191.907272727274,14399.181818181818,23320.409090909092,1.0
42.0,14133.436363636363,12197.045454545454,22400.96363636364,0.5454545454545454
43.0,3672.49,3542.5454545454545,6111.154545454547,0.09090909090909091
44.0,3762.121818181818,3660.318181818182,5982.700000000001,0.09090909090909091
45.0,4714.000909090909,4627.727272727273,7322.8090909090915,0.45454545454545453
46.0,9388.581818181818,9046.90909090909,15381.418181818184,1.0
47.0,16279.67909090909,14503.318181818182,28560.154545454563,0.8181818181818182
48.0,3717.38,3431.909090909091,6950.572727272729,0.09090909090909091
49.0,3868.9645454545457,3679.681818181818,6733.427272727274,0.09090909090909091
50.0,4673.835454545455,4382.454545454545,7793.79090909091,0.09090909090909091
51.0,6792.870000000001,5953.090909090909,11707.600000000002,0.7272727272727273
52.0,15702.607272727271,14924.454545454546,31043.918181818186,1.0
53.0,7002.270909090908,7564.5,11727.654545454547,0.18181818181818182
54.0,3234.621818181818,3161.681818181818,4831.754545454546,0.0
55.0,3383.8545454545456,3347.7272727272725,4997.418181818182,0.0
56.0,4389.850909090909,4393.681818181818,6437.481818181818,0.2727272727272727
57.0,9002.500909090908,7349.363636363636,15806.981818181828,0.9090909090909091
58.0,8374.006363636365,8197.59090909091,12473.6090909091,0.45454545454545453
59.0,3231.7509090909093,3209.818181818182,4816.900000000001,0.0
60.0,2875.4936363636366,2857.409090909091,4307.772727272728,0.0
61.0,3837.6136363636365,3812.6363636363635,5644.618181818183,0.0
62.0,6515.110000000001,5997.0,10905.509090909092,0.8181818181818182
63.0,7124.922727272727,6291.136363636364,11342.51818181819,0.6363636363636364
64.0,3579.693636363636,3589.681818181818,5290.472727272728,0.0
65.0,2932.1927272727276,2883.409090909091,4287.8,0.0
66.0,3545.0363636363636,3487.2272727272725,5219.88181818182,0.09090909090909091
67.0,5108.175454545454,4889.590909090909,8076.745454545456,0.6363636363636364
68.0,5017.841818181819,4721.727272727273,7678.400000000015,0.5454545454545454
69.0,4028.610909090909,4093.681818181818,5946.318181818183,0.2727272727272727
70.0,3200.9454545454546,3238.181818181818,4469.654545454546,0.0
71.0,3322.907272727273,3306.6363636363635,4827.227272727273,0.0
72.0,4227.873636363636,4259.045454545455,6248.827272727274,0.36363636363636365
73.0,4727.23,4631.727272727273,7143.945454545456,0.45454545454545453
74.0,4480.6618181818185,4508.227272727273,6485.681818181818,0.2727272727272727
75.0,3712.4127272727274,3742.2727272727275,5394.1272727272735,0.09090909090909091
76.0,2996.6772727272723,2982.1363636363635,4399.772727272728,0.09090909090909091
77.0,4188.134545454545,4153.863636363636,6316.99090909091,0.2727272727272727
78.0,4901.735454545455,4880.272727272727,7319.036363636365,0.45454545454545453
79.0,4868.538181818181,4817.090909090909,8135.781818181818,0.45454545454545453
80.0,3835.362727272727,3941.818181818182,5527.072727272727,0.09090909090909091
81.0,2863.6263636363637,2795.0,4308.509090909091,0.0
82.0,3839.309090909091,3753.2727272727275,5758.236363636365,0.0
83.0,5195.341818181819,5007.636363636364,8337.372727272728,0.6363636363636364
84.0,5700.167272727273,4971.0,8605.918181818197,0.5454545454545454
85.0,4147.188181818182,4223.272727272727,5990.1727272727285,0.18181818181818182
86.0,3253.041818181818,3248.2272727272725,4860.109090909092,0.0
87.0,3650.700909090909,3545.318181818182,5445.3545454545465,0.09090909090909091
88.0,5409.753636363636,5162.318181818182,8493.218181818183,0.7272727272727273
89.0,4942.557272727273,4724.545454545455,8644.418181818182,0.6363636363636364
90.0,6524.189090909091,6548.409090909091,10296.500000000002,0.5454545454545454
91.0,3485.7536363636364,3450.9545454545455,5123.2181818181825,0.0
92.0,3421.112727272727,3233.318181818182,5491.745454545455,0.09090909090909091
93.0,6225.748181818181,5661.181818181818,10384.427272727275,0.8181818181818182
94.0,4984.217272727273,4572.772727272727,7327.645454545455,0.36363636363636365
95.0,7713.710909090908,6869.772727272727,14540.227272727283,0.7272727272727273
96.0,3760.920909090909,3542.4545454545455,6175.909090909091,0.09090909090909091
97.0,3672.0572727272724,3264.681818181818,6772.900000000001,0.09090909090909091
98.0,5390.765454545454,5116.363636363636,9235.881818181819,0.6363636363636364
99.0,5656.994545454546,5426.045454545455,8910.300000000001,0.36363636363636365
