hour,is_weekday,rain_mm,is_rain,heavy_rain,temperature
0,False,0.07500000000000001,0.5,0.0,15.725000000000001
0,True,0.12142857142857143,0.6428571428571429,0.0,15.657142857142858
1,False,0.05,0.5,0.0,15.625
1,True,0.1142857142857143,0.6428571428571429,0.0,15.457142857142857
2,False,0.125,0.75,0.0,15.375
2,True,0.1142857142857143,0.5,0.0,15.407142857142857
3,False,0.175,0.75,0.0,14.875
3,True,0.08571428571428572,0.42857142857142855,0.0,15.271428571428572
4,False,0.1,0.25,0.0,15.25
4,True,0.05714285714285715,0.5,0.0,15.635714285714286
5,False,0.15000000000000002,0.75,0.0,16.175
5,True,0.05,0.35714285714285715,0.0,17.092857142857145
6,False,0.1,0.75,0.0,18.175
6,True,0.08571428571428573,0.6428571428571429,0.0,18.907142857142855
7,False,0.475,0.75,0.0,19.85
7,True,0.05714285714285715,0.5,0.0,20.92142857142857
8,False,0.275,0.75,0.0,21.225
8,True,0.049999999999999996,0.35714285714285715,0.0,22.792857142857144
9,False,0.07500000000000001,0.5,0.0,23.0
9,True,0.028571428571428574,0.2857142857142857,0.0,24.17142857142857
10,False,0.025,0.25,0.0,24.175
10,True,0.028571428571428574,0.21428571428571427,0.0,25.192857142857143
11,False,0.125,0.75,0.0,24.5
11,True,0.021428571428571432,0.21428571428571427,0.0,25.77857142857143
12,False,0.05,0.25,0.0,24.625
12,True,0.014285714285714287,0.14285714285714285,0.0,25.47142857142857
13,False,0.025,0.25,0.0,24.425
13,True,0.0071428571428571435,0.07142857142857142,0.0,25.07857142857143
14,False,0.05,0.5,0.0,23.35
14,True,0.04285714285714286,0.14285714285714285,0.0,24.035714285714285
15,False,0.125,0.5,0.0,21.674999999999997
15,True,0.021428571428571432,0.14285714285714285,0.0,22.650000000000002
16,False,0.0,0.0,0.0,20.35
16,True,0.0,0.0,0.0,21.142857142857142
17,False,0.0,0.0,0.0,19.325
17,True,0.014285714285714287,0.07142857142857142,0.0,20.0
18,False,0.025,0.25,0.0,18.175
18,True,0.028571428571428574,0.07142857142857142,0.0,19.207142857142856
19,False,1.0,0.5,0.0,17.4
19,True,0.03571428571428571,0.21428571428571427,0.0,18.285714285714285
20,False,0.22499999999999998,0.5,0.0,16.85
20,True,0.03571428571428571,0.35714285714285715,0.0,17.478571428571428
21,False,0.15,0.5,0.0,16.325
21,True,0.05714285714285715,0.35714285714285715,0.0,16.8
22,False,0.15000000000000002,1.0,0.0,16.075000000000003
22,True,0.07857142857142858,0.42857142857142855,0.0,16.321428571428573
23,False,0.2,1.0,0.0,15.775
23,True,0.05714285714285715,0.35714285714285715,0.0,15.9
